cluster_language,English,German,Portuguese,Spanish,Swedish
English,5.194729328155518,6.580256462097168,5.75870418548584,5.874406814575195,5.972531795501709
German,5.986901760101318,6.098964691162109,6.998753070831299,6.429469585418701,6.513762950897217
Portuguese,5.3339924812316895,6.537345886230469,5.1949143409729,5.664290428161621,5.822595119476318
Spanish,5.4763689041137695,6.49186372756958,5.695516109466553,5.098522186279297,5.811633110046387
Swedish,5.461677074432373,6.622701168060303,5.725368499755859,5.934930324554443,5.385088920593262
