model,round,language,ppl
checkpoint-1,1,E,7.269759178161621
checkpoint-10,10,E,5.585813045501709
checkpoint-50,50,E,5.350348472595215
cluster_0_checkpoint-100,100,E,5.436797142028809
cluster_1_checkpoint-100,100,E,5.234011650085449
cluster_2_checkpoint-100,100,E,5.697709560394287
cluster_3_checkpoint-100,100,E,5.344368934631348
cluster_4_checkpoint-100,100,E,5.471551895141602
cluster_0_checkpoint-150,150,E,5.466582775115967
cluster_1_checkpoint-150,150,E,5.190548419952393
cluster_2_checkpoint-150,150,E,5.939986705780029
cluster_3_checkpoint-150,150,E,5.329570293426514
cluster_4_checkpoint-150,150,E,5.471398830413818
cluster_0_checkpoint-200,200,E,5.461677074432373
cluster_1_checkpoint-200,200,E,5.194729328155518
cluster_2_checkpoint-200,200,E,5.986901760101318
cluster_3_checkpoint-200,200,E,5.3339924812316895
cluster_4_checkpoint-200,200,E,5.4763689041137695
checkpoint-1,1,S,10.423484802246094
checkpoint-10,10,S,6.0105156898498535
checkpoint-50,50,S,5.730195999145508
cluster_0_checkpoint-100,100,S,5.425076007843018
cluster_1_checkpoint-100,100,S,5.909503936767578
cluster_2_checkpoint-100,100,S,6.086347579956055
cluster_3_checkpoint-100,100,S,5.768918991088867
cluster_4_checkpoint-100,100,S,5.799105167388916
cluster_0_checkpoint-150,150,S,5.385286331176758
cluster_1_checkpoint-150,150,S,5.945752143859863
cluster_2_checkpoint-150,150,S,6.4840545654296875
cluster_3_checkpoint-150,150,S,5.822841644287109
cluster_4_checkpoint-150,150,S,5.794849872589111
cluster_0_checkpoint-200,200,S,5.385088920593262
cluster_1_checkpoint-200,200,S,5.972531795501709
cluster_2_checkpoint-200,200,S,6.513762950897217
cluster_3_checkpoint-200,200,S,5.822595119476318
cluster_4_checkpoint-200,200,S,5.811633110046387
checkpoint-1,1,G,8.53579330444336
checkpoint-10,10,G,6.772493362426758
checkpoint-50,50,G,6.471775531768799
cluster_0_checkpoint-100,100,G,6.610296249389648
cluster_1_checkpoint-100,100,G,6.542710781097412
cluster_2_checkpoint-100,100,G,5.9663190841674805
cluster_3_checkpoint-100,100,G,6.5316548347473145
cluster_4_checkpoint-100,100,G,6.462370872497559
cluster_0_checkpoint-150,150,G,6.626053810119629
cluster_1_checkpoint-150,150,G,6.581735134124756
cluster_2_checkpoint-150,150,G,6.0805888175964355
cluster_3_checkpoint-150,150,G,6.542805194854736
cluster_4_checkpoint-150,150,G,6.476521015167236
cluster_0_checkpoint-200,200,G,6.622701168060303
cluster_1_checkpoint-200,200,G,6.580256462097168
cluster_2_checkpoint-200,200,G,6.098964691162109
cluster_3_checkpoint-200,200,G,6.537345886230469
cluster_4_checkpoint-200,200,G,6.49186372756958
checkpoint-1,1,P,9.74589729309082
checkpoint-10,10,P,6.049411296844482
checkpoint-50,50,P,5.538280010223389
cluster_0_checkpoint-100,100,P,5.695828914642334
cluster_1_checkpoint-100,100,P,5.7327189445495605
cluster_2_checkpoint-100,100,P,6.321868419647217
cluster_3_checkpoint-100,100,P,5.313979625701904
cluster_4_checkpoint-100,100,P,5.6964640617370605
cluster_0_checkpoint-150,150,P,5.744582653045654
cluster_1_checkpoint-150,150,P,5.7255473136901855
cluster_2_checkpoint-150,150,P,6.896040439605713
cluster_3_checkpoint-150,150,P,5.189180850982666
cluster_4_checkpoint-150,150,P,5.676577091217041
cluster_0_checkpoint-200,200,P,5.725368499755859
cluster_1_checkpoint-200,200,P,5.75870418548584
cluster_2_checkpoint-200,200,P,6.998753070831299
cluster_3_checkpoint-200,200,P,5.1949143409729
cluster_4_checkpoint-200,200,P,5.695516109466553
