cluster_language,English,German,Portuguese,Spanish,Swedish
English,5.234011650085449,6.542710781097412,5.7327189445495605,5.824597358703613,5.909503936767578
German,5.697709560394287,5.9663190841674805,6.321868419647217,5.922893047332764,6.086347579956055
Portuguese,5.344368934631348,6.5316548347473145,5.313979625701904,5.655295848846436,5.768918991088867
Spanish,5.471551895141602,6.462370872497559,5.6964640617370605,5.175416469573975,5.799105167388916
Swedish,5.436797142028809,6.610296249389648,5.695828914642334,5.9552412033081055,5.425076007843018
