cluster_language,English,German,Portuguese,Spanish,Swedish
English,5.190548419952393,6.581735134124756,5.7255473136901855,5.853286266326904,5.945752143859863
German,5.939986705780029,6.080588817596436,6.896040439605713,6.35509729385376,6.484054565429688
Portuguese,5.329570293426514,6.542805194854736,5.189180850982666,5.670402526855469,5.822841644287109
Spanish,5.471398830413818,6.476521015167236,5.676577091217041,5.111135959625244,5.794849872589111
Swedish,5.466582775115967,6.626053810119629,5.744582653045654,5.959146976470947,5.385286331176758
